match_id,team_id,player_name,player_id,shirt_number,position,role,captain,motm,minute_on,minute_off,replaced_player,yellow_card,yellow_red_card,red_card
37,MW_W,Chisomo Banda,CAF_MW_000516,19,DF,unused_sub,,,,,,,,
37,MW_W,Sarah Mulimbika,CAF_MW_000519,20,MF,unused_sub,,,,,,,,
37,MW_W,Rose Alufandika,CAF_MW_000510,21,DF,starting,,,,,,,,1
37,MW_W,Bernadette Mkandawire,CAF_MW_000515,22,DF,starting,,,,,,,,
37,MW_W,Esther Maulidi,CAF_MW_000511,23,GK,unused_sub,,,,,,,,
37,MW_W,Chikondi Gondwe,CAF_MW_000529,24,MF,unused_sub,,,,,,,,
37,MW_W,Lyna James,CAF_MW_000531,25,MF,unused_sub,,,,,,,,
37,MW_W,Vitumbiko Mkandawire,CAF_MW_000505,26,FW,unused_sub,,,,,,,,
38,MW_W,Mercy Sikelo,CAF_MW_000495,1,GK,starting,,,,,,,,
38,MW_W,Bernadette Mkandawire,CAF_MW_000515,22,DF,starting,,,,,,,,
38,MW_W,Faith Chinzimu,CAF_MW_000538,17,DF,starting,,,,,,,,
38,MW_W,Chimwemwe Madise,CAF_MW_000509,4,DF,starting,,,,,,,,
38,MW_W,Ireen Khumalo,CAF_MW_000501,18,DF,starting,,,,,,,,
38,MW_W,Madyina Nguluwe,CAF_MW_000533,12,MF,starting,,,,55,,1,,
38,MW_W,Leticia Chinyamula,CAF_MW_000539,15,MF,starting,,,,,,1,,
38,MW_W,Rose Kadzere,CAF_MW_000513,6,MF,starting,,,,,,1,,
38,MW_W,Sabinah Thom,CAF_MW_000525,9,FW,starting,,,,25,,,,
38,MW_W,Temwa Chawinga,CAF_MW_000530,10,FW,starting,,,,,,,,
38,MW_W,Tabitha Chawinga,CAF_MW_000503,11,FW,starting,1,,,,,,,
38,MW_W,Asimenye Simwaka,CAF_MW_000528,7,FW,sub_on,,,25,,Sabinah Thom,,,
38,MW_W,Tendai Sani,CAF_MW_000536,8,MF,sub_on,,,55,83,Madyina Nguluwe,1,,
38,MW_W,Vitumbiko Mkandawire,CAF_MW_000505,26,FW,sub_on,,,83,,Tendai Sani,,,
38,MW_W,Yamikani Kawonga,CAF_MW_000537,16,GK,unused_sub,,,,,,,,
38,MW_W,Esther Maulidi,CAF_MW_000511,23,GK,unused_sub,,,,,,,,
38,MW_W,Maggie Chavula,CAF_MW_000520,14,DF,unused_sub,,,,,,,,
38,MW_W,Olivia Phikani,CAF_MW_000521,2,DF,unused_sub,,,,,,,,
38,MW_W,Sarah Mulimbika,CAF_MW_000519,20,MF,unused_sub,,,,,,,,
38,MW_W,Lyna James,CAF_MW_000531,25,MF,unused_sub,,,,,,,,
38,MW_W,Vanessa Chikupira,CAF_MW_000494,13,FW,unused_sub,,,,,,,,
38,MW_W,Deborah Henry,CAF_MW_000508,3,FW,unused_sub,,,,,,,,
38,MW_W,Chisomo Banda,CAF_MW_000516,19,DF,unused_sub,,,,,,,,
38,MW_W,Tionge Phiri,CAF_MW_000502,5,DF,unused_sub,,,,,,,,
38,MW_W,Chikondi Gondwe,CAF_MW_000529,24,MF,unused_sub,,,,,,,,
39,MW_W,Mercy Sikelo,CAF_MW_000495,1,GK,starting,,,,,,,,
39,MW_W,Bernadette Mkandawire,CAF_MW_000515,22,DF,starting,,,,,,,,
39,MW_W,Rose Alufandika,CAF_MW_000510,21,DF,starting,,,,,,,,
39,MW_W,Chimwemwe Madise,CAF_MW_000509,4,DF,starting,,,,,,,,
39,MW_W,Ireen Khumalo,CAF_MW_000501,18,DF,starting,,,,,,,,
39,MW_W,Chikondi Gondwe,CAF_MW_000529,24,MF,starting,,,,,,,,
39,MW_W,Faith Chinzimu,CAF_MW_000538,17,MF,starting,,,,,,,,
39,MW_W,Rose Kadzere,CAF_MW_000513,6,MF,starting,,,,89,,1,,
39,MW_W,Asimenye Simwaka,CAF_MW_000528,7,FW,starting,,,,75,,,,
39,MW_W,Tabitha Chawinga,CAF_MW_000503,11,FW,starting,1,,,,,,,
39,MW_W,Temwa Chawinga,CAF_MW_000530,10,FW,starting,,,,,,,,
39,MW_W,Vanessa Chikupira,CAF_MW_000494,13,FW,sub_on,,,75,,Asimenye Simwaka,,,
39,MW_W,Tendai Sani,CAF_MW_000536,8,MF,sub_on,,,89,,Rose Kadzere,,,
39,MW_W,Yamikani Kawonga,CAF_MW_000537,16,GK,unused_sub,,,,,,,,
39,MW_W,Esther Maulidi,CAF_MW_000511,23,GK,unused_sub,,,,,,,,
39,MW_W,Maggie Chavula,CAF_MW_000520,14,DF,unused_sub,,,,,,,,
39,MW_W,Olivia Phikani,CAF_MW_000521,2,DF,unused_sub,,,,,,,,
39,MW_W,Sarah Mulimbika,CAF_MW_000519,20,MF,unused_sub,,,,,,,,
39,MW_W,Lyna James,CAF_MW_000531,25,MF,unused_sub,,,,,,,,
39,MW_W,Deborah Henry,CAF_MW_000508,3,FW,unused_sub,,,,,,,,
39,MW_W,Vitumbiko Mkandawire,CAF_MW_000505,26,FW,unused_sub,,,,,,,,
39,MW_W,Chisomo Banda,CAF_MW_000516,19,DF,unused_sub,,,,,,,,
39,MW_W,Tionge Phiri,CAF_MW_000502,5,DF,unused_sub,,,,,,,,
40,MW_W,Mercy Sikelo,CAF_MW_000495,1,GK,starting,,,,,,,,
40,MW_W,Bernadette Mkandawire,CAF_MW_000515,22,DF,starting,,,,,,,,
40,MW_W,Rose Alufandika,CAF_MW_000510,21,DF,starting,,,,,,,,
40,MW_W,Chimwemwe Madise,CAF_MW_000509,4,DF,starting,,,,,,,,
40,MW_W,Ireen Khumalo,CAF_MW_000501,18,DF,starting,,,,,,1,,
40,MW_W,Chikondi Gondwe,CAF_MW_000529,24,MF,starting,,,,63,,,,
40,MW_W,Faith Chinzimu,CAF_MW_000538,17,MF,starting,,,,85,,1,,
40,MW_W,Rose Kadzere,CAF_MW_000513,6,MF,starting,,,,,,,,1
40,MW_W,Asimenye Simwaka,CAF_MW_000528,7,FW,starting,,,,63,,,,
40,MW_W,Tabitha Chawinga,CAF_MW_000503,11,FW,starting,1,,,,,,,
40,MW_W,Temwa Chawinga,CAF_MW_000530,10,FW,starting,,,,90,,,,
40,MW_W,Leticia Chinyamula,CAF_MW_000539,15,MF,sub_on,,,63,,Chikondi Gondwe,,,
40,MW_W,Madyina Nguluwe,CAF_MW_000533,12,MF,sub_on,,,85,,Faith Chinzimu,,,
40,MW_W,Vitumbiko Mkandawire,CAF_MW_000505,26,FW,sub_on,,,90,,Temwa Chawinga,,,
40,MW_W,Yamikani Kawonga,CAF_MW_000537,16,GK,unused_sub,,,,,,,,
40,MW_W,Esther Maulidi,CAF_MW_000511,23,GK,unused_sub,,,,,,,,
40,MW_W,Maggie Chavula,CAF_MW_000520,14,DF,unused_sub,,,,,,,,
40,MW_W,Olivia Phikani,CAF_MW_000521,2,DF,unused_sub,,,,,,,,
40,MW_W,Sarah Mulimbika,CAF_MW_000519,20,MF,unused_sub,,,,,,,,
40,MW_W,Lyna James,CAF_MW_000531,25,MF,unused_sub,,,,,,,,
40,MW_W,Vanessa Chikupira,CAF_MW_000494,13,FW,unused_sub,,,63,,Asimenye Simwaka,,,
40,MW_W,Tendai Sani,CAF_MW_000536,8,MF,unused_sub,,,,,,,,
40,MW_W,Deborah Henry,CAF_MW_000508,3,FW,unused_sub,,,,,,,,
